Price,Close,High,Low,Open,Volume
Ticker,0050.TW,0050.TW,0050.TW,0050.TW,0050.TW
Date,,,,,
2022-01-03,35.56898880004883,35.799801470544544,35.471807249384284,35.471807249384284,27136808
2022-01-04,36.34646224975586,36.34646224975586,35.884840537063205,35.884840537063205,38537760
2022-01-05,36.27357482910156,36.577271866004224,36.22498404464498,36.46794167416711,45626404
2022-01-06,35.93342590332031,36.139941336711246,35.714765556279346,36.03061116319076,34484932
2022-01-07,35.617584228515625,36.200680962465256,35.593286986584964,36.0306113906665,27956496
2022-01-10,35.84839630126953,35.90913570411572,35.32603521244892,35.47181126217536,62807884
2022-01-11,36.03061294555664,36.07920372427626,35.64187930132213,35.86054336641858,71021608
2022-01-12,36.334312438964844,36.34646106128778,36.127796981192,36.28572165691212,40619208
2022-01-13,36.51652908325195,36.55297124141609,36.334310877953534,36.334310877953534,29812384
2022-01-14,36.51652908325195,36.735189446714514,36.21283207442125,36.63800788678424,40446116
2022-01-17,36.9295539855957,37.02673553950444,36.710893635681714,36.710893635681714,27711192
2022-01-18,36.51652908325195,36.990295675580086,36.48008321784894,36.978147053779075,57660460
2022-01-19,36.07920455932617,36.35860432385975,36.01846515771114,36.20068336255623,58657148
2022-01-20,36.224979400634766,36.24927293612904,35.860543003071996,36.07920335871416,65053388
2022-01-21,34.65789794921875,34.97374355054552,34.572865018979044,34.961594929871694,119510380
2022-01-24,34.98589324951172,34.98589324951172,34.427090046439844,34.52427530758723,52641948
2022-01-25,34.41494369506836,34.63360776664196,34.31776213475046,34.63360776664196,96087792
2022-01-26,34.39065170288086,34.54857267229842,34.26917289340918,34.29346643096008,71003288
2022-02-07,34.57286834716797,34.69434715112342,34.30561349557043,34.64575637098901,96090320
2022-02-08,34.71864318847656,34.86441924661941,34.69434965027886,34.81582846298485,44340368
2022-02-09,34.84012222290039,34.864419468491874,34.65790400268179,34.864419468491874,32243600
2022-02-10,35.241004943847656,35.241004943847656,34.864419876210775,34.961601445234834,24016868
2022-02-11,35.216705322265625,35.24100256650217,34.998044953092624,35.15596591891324,17259684
2022-02-14,34.67005157470703,34.97374859920033,34.548572764909714,34.97374859920033,47456160
2022-02-15,34.51212692260742,34.791526672435175,34.48782968034472,34.67004787559899,29444908
2022-02-16,35.083072662353516,35.09522128266036,34.93730034038667,34.961593873761935,26800172
2022-02-17,35.10737228393555,35.22885108076577,34.98589348710532,35.08307504167403,19763216
2022-02-18,35.01019287109375,35.022337785728794,34.755086640696575,34.86441682308425,15468844
2022-02-21,34.93730163574219,34.94945025649946,34.69434404955099,34.852264997679846,18011756
2022-02-22,34.46353530883789,34.657898413267354,34.1962804793895,34.64575349966945,74872596
2022-02-23,34.56071853637695,34.59716069341436,34.414942493749805,34.46353697945136,17635428
2022-02-24,33.72251510620117,34.281318319110966,33.601036308057246,34.281318319110966,117813808
2022-02-25,33.649627685546875,33.819697264531484,33.4917067280409,33.78325510733435,90309080
2022-03-01,34.12339401245117,34.20843065493275,33.73466407868664,33.78325485700236,32958060
2022-03-02,33.92903137207031,34.03836527079927,33.81970118058056,34.014068025028564,24524616
2022-03-03,34.00191879272461,34.208434256356576,33.97762525462853,34.13554622759005,17755472
2022-03-04,33.637481689453125,33.73466696162871,33.51600287966294,33.64963031187995,50396708
2022-03-07,32.55632019042969,33.260895786282205,32.49558078708933,33.260895786282205,208177676
2022-03-08,31.8638858795166,32.349801050883926,31.827443724559473,32.17973148235307,167283432
2022-03-09,32.1918830871582,32.37410129331193,32.11899506324893,32.11899506324893,83526340
2022-03-10,33.12726974487305,33.1758605226948,32.84786628473023,32.84786628473023,57746092
2022-03-11,32.653499603271484,33.00579108524507,32.604908825245765,33.00579108524507,42419380
2022-03-14,32.653499603271484,32.88431228656142,32.55631804722005,32.79927564458737,34346608
2022-03-15,31.985368728637695,32.34980515337981,31.92462932451401,32.34980515337981,94122712
2022-03-16,32.118995666503906,32.37410190135827,31.8517445168023,32.36195327927207,75954080
2022-03-17,33.1394157409668,33.163712984290385,32.84786735727795,32.90860675834808,56006192
2022-03-18,33.066532135009766,33.188010939756694,32.92075608641788,33.188010939756694,50581376
2022-03-21,33.285194396972656,33.44311536924513,33.23660361375337,33.23660361375337,30873588
2022-03-22,33.236602783203125,33.285193565208175,33.11512397457098,33.236602783203125,24184288
2022-03-23,33.55244445800781,33.61318385513872,33.4188170428721,33.430965663746,41079752
2022-03-24,33.52814865112305,33.552445893910665,33.29733967359567,33.40666985166246,17108564
2022-03-25,33.57674026489258,33.64962828783023,33.503852241954924,33.62533104443806,19496792
2022-03-28,33.212303161621094,33.28519118303169,32.93290340465904,33.28519118303169,42024708
2022-03-29,33.24875259399414,33.333785538732734,33.18801318750693,33.2851947549908,25774216
2022-03-30,33.66177749633789,33.69821965482258,33.540298691737064,33.540298691737064,32665068
2022-03-31,33.55244445800781,33.68606816590493,33.55244445800781,33.66177463139572,14238552
2022-04-01,33.27304458618164,33.27304458618164,33.078677753006176,33.188011645394184,30795024
2022-04-06,33.10297393798828,33.12727118157226,32.799276929382884,32.860016331103964,46251656
2022-04-07,32.50773239135742,32.823578059149696,32.50773239135742,32.823578059149696,58991464
2022-04-08,32.689945220947266,32.689945220947266,32.49557840306995,32.580615044403366,35768872
2022-04-11,32.17973709106445,32.665652347123526,32.11899768405707,32.59276431726683,66837660
2022-04-12,32.20403289794922,32.27692092454942,31.9732239030811,32.106847626735934,56875520
2022-04-13,32.811424255371094,32.847866412069,32.36195121749035,32.41054199550047,28186852
2022-04-14,32.689945220947266,32.98149359414389,32.689945220947266,32.98149359414389,19791976
2022-04-15,32.13114547729492,32.32551231614793,32.0704060718558,32.276921533244455,82769516
2022-04-18,31.96107292175293,32.13114249977468,31.863887657712812,32.070403099964146,71848084
2022-04-19,32.070404052734375,32.3012130374237,32.033961894660905,32.1311434543494,36238036
2022-04-20,32.22832489013672,32.24047351186079,31.985367284610653,32.11899470909776,27048540
2022-04-21,32.252620697021484,32.45913613541578,32.22832345465556,32.37409949437373,15936376
2022-04-22,31.973220825195312,32.00966298136781,31.79100262985546,31.924626340647077,44801348
2022-04-25,31.402273178100586,31.59664002045736,31.256497119523214,31.584491397702717,128851880
2022-04-26,31.402273178100586,31.535900613923317,31.305091610541783,31.523751991168673,37409408
2022-04-27,30.746286392211914,30.855616575638436,30.624807586796013,30.855616575638436,114986256
2022-04-28,30.879913330078125,30.952801357995185,30.600511694555454,30.94065273546916,46171364
2022-04-29,31.280794143676758,31.46301236198944,31.159315331468303,31.317236304443636,47537724
2022-05-03,31.04998207092285,31.268642428375756,30.964945427891845,31.2322002712132,25125076
2022-05-04,31.04998207092285,31.207903028278974,30.977094049358957,31.171460871116416,39598772
2022-05-05,31.402273178100586,31.535900613923317,31.3293851488119,31.46301258463463,24902416
2022-05-06,30.770584106445312,30.819174890833587,30.60051265384714,30.721991468437434,68203532
2022-05-09,30.2603702545166,30.503327857993668,30.248221632894982,30.49117923637205,51720992
2022-05-10,30.12674331665039,30.151038706665737,29.531497919986933,29.677272113698447,55376572
2022-05-11,30.175334930419922,30.236074333946227,29.956674560620822,30.090300136206995,32199604
2022-05-12,29.45861053466797,29.883786356817815,29.44646191258732,29.883786356817815,47755260
2022-05-13,29.725862503051758,29.725862503051758,29.531497531864023,29.66512310200195,28106200
2022-05-16,29.883787155151367,30.12674477429894,29.76230834557758,29.993117342319962,22904664
2022-05-17,30.211776733398438,30.248220743572396,29.920228359245485,29.920228359245485,16662204
2022-05-18,30.539772033691406,30.61266006099874,30.430441846349936,30.454737237579206,25266444
2022-05-19,29.956674575805664,30.07815338291985,29.798751755833326,29.993116735044325,29033480
2022-05-20,30.284666061401367,30.357552231277065,30.04170845457684,30.066003844535405,14661664
2022-05-23,30.34540557861328,30.515475162590025,30.248222164789667,30.442588992436896,10715572
2022-05-24,30.005264282226562,30.418291470169766,29.98096889239804,30.369700690512715,20276748
2022-05-25,30.236074447631836,30.296813851386517,29.99311683261312,30.053856236367796,10270292
2022-05-26,29.8594913482666,30.369701970649615,29.84734272603054,30.369701970649615,23219872
2022-05-27,30.491180419921875,30.564068445241993,30.13889262265344,30.163188013220317,46801572
2022-05-30,31.232202529907227,31.24435115225292,30.867766102970712,30.91635688511444,58170520
2022-05-31,31.535898208618164,31.535898208618164,31.001390359714797,31.20790395545543,28102668
2022-06-01,31.377971649169922,31.59663570718605,31.3415294931199,31.41441751245861,25626728
2022-06-02,31.04998207092285,31.207903028278974,31.001389438673794,31.207903028278974,17718612
2022-06-06,31.26864242553711,31.34153044709439,30.96494542508077,31.159312246820583,16111300
2022-06-07,30.952800750732422,31.08642632779937,30.819173320045962,31.08642632779937,19365760
2022-06-08,31.29294204711914,31.36583007421681,31.135017370534353,31.220054020021475,15916200
