Date,Open,High,Low,Close,Adj Close,Volume
2019/10/1,7.671905,7.731686,7.542379,7.651978,6.257634,16556948
2019/11/1,7.671905,7.791467,7.622087,7.731686,6.322817,20037561
2019/12/1,7.731686,7.871175,7.701796,7.781504,6.363557,17383305
2020/1/1,7.781504,7.811394,7.582233,7.60216,6.216893,10241622
2020/2/1,7.512489,7.74165,7.382963,7.502525,6.135414,13393898
2020/3/1,7.472635,7.532416,5.340443,6.46632,5.288026,52514241
2020/4/1,6.376648,7.263401,6.376648,7.23351,5.915419,28504441
2020/5/1,7.23351,7.23351,6.894751,6.894751,5.638389,13870399
2020/6/1,6.964496,7.313218,6.954532,7.183693,5.87468,19602296
2020/7/1,7.183693,7.532416,6.874824,6.884787,5.63024,43207156
2020/8/1,6.894751,6.894751,6.615773,6.805079,5.888013,29401375
2020/9/1,6.795116,7.054167,6.575918,6.72,5.8144,33299326
2020/10/1,6.72,6.77,6.35,6.41,5.546176,69518611
2020/11/1,6.4,6.66,6.37,6.6,5.710571,51659814
2020/12/1,6.6,7.01,6.46,6.93,5.9961,57871687
2021/1/1,6.93,6.98,6.56,6.57,5.684615,44644307
2021/2/1,6.53,6.99,6.52,6.87,5.944186,28200483
2021/3/1,6.87,7.05,6.83,7,6.056666,53957958
2021/4/1,7,7.69,6.92,7.56,6.5412,102528928
2021/5/1,7.56,7.58,6.6,7.04,6.091276,80165586
2021/6/1,7.05,7.19,6.88,7.08,6.125886,34548067
2021/7/1,7.05,7.31,6.91,7.02,6.073971,50386891
2021/8/1,7.07,7.55,6.8,7.49,6.663961,58025477
2021/9/1,7.5,8.68,7.49,7.61,6.770727,179241395
2021/10/1,7.54,7.98,7.45,7.8,6.939773,42551455
2021/11/1,7.8,8.28,7.76,7.76,6.904184,60103587
2021/12/1,7.78,8.03,7.74,8,7.117716,38162445
2022/1/1,8.02,9.75,7.96,8.52,7.580368,377329783
2022/2/1,8.52,9.17,8.52,8.81,7.838385,141059025
2022/3/1,8.83,11.3,8.42,10.25,9.119574,506015143
2022/4/1,10.25,10.9,9.37,9.54,8.487876,348871056
2022/5/1,9.54,9.6,8.44,8.83,7.856179,140723713
2022/6/1,8.83,9.05,8.57,8.7,7.740516,79980682
2022/7/1,8.7,8.7,7.83,8.16,7.26007,82079126
2022/8/1,8.16,8.7,7.96,8.69,8.024373,62533880
2022/9/1,8.59,8.87,8.05,8.27,7.636545,67999857
2022/10/1,8.24,8.32,7.71,7.94,7.331821,42550297
2022/11/1,8.01,8.61,7.95,8.55,7.895098,39287736
2022/12/1,8.59,8.66,8.25,8.39,7.747354,31663971
2023/1/1,8.39,9.31,8.33,9.25,8.541479,71197038
2023/2/1,9.26,9.82,9.25,9.71,8.966245,102140909
2023/3/1,9.68,10.05,8.93,9.68,8.938543,130782209
2023/4/1,9.68,10.5,9.68,10.25,9.464883,113240184
2023/5/1,10.25,10.4,9.87,10.3,9.511053,119770090
2023/6/1,10.25,10.35,10,10.2,9.418713,73928596
2023/7/1,10.25,10.3,9.97,9.98,9.215564,93321716
2023/8/1,9.98,10.05,8.85,9.5,9.110069,99763279
2023/9/1,9.49,10,9.43,9.51,9.119659,57995499
2023/10/1,9.52,9.86,9.27,9.32,8.937457,44760653
2023/11/1,9.34,9.84,9.32,9.72,9.32104,43503973
2023/12/1,9.72,10.15,9.68,9.98,9.570368,89270284
2024/1/1,9.98,10,9.29,9.42,9.033353,71284214
2024/2/1,9.42,9.95,9.34,9.95,9.541599,50997096
2024/3/1,9.98,10.35,9.82,9.99,9.579957,194199676
2024/4/1,10.05,10.2,9.6,9.98,9.570368,171145656
2024/5/1,9.98,10.9,9.96,10.5,10.069024,231520817
2024/6/1,10.55,10.8,10.35,10.5,10.069024,139498429
2024/7/1,10.55,11.15,10,10.2,9.781338,227303313
2024/8/1,10.3,10.35,9.45,10.3,10.3,117995010
2024/9/1,10.35,10.35,9.9,10.05,10.05,66085215
2024/10/1,10.1,10.1,9.83,9.83,9.83,57931196
2024/11/1,9.79,9.94,9.71,9.86,9.86,42973966
2024/12/1,9.89,9.99,9.58,9.89,9.89,51101843
2025/1/1,9.86,9.98,9.68,9.95,9.95,37719748
2025/2/1,9.89,9.98,9.79,9.96,9.96,75215586
2025/3/1,9.96,10.05,9.82,9.85,9.85,62563310
2025/4/1,9.85,9.96,8.68,9.49,9.49,88940943
2025/5/1,9.51,9.73,9.41,9.46,9.46,54356259
2025/6/1,9.42,9.52,9.04,9.23,9.23,100363401
