Date,Open,High,Low,Close,Adj Close,Volume
2019/10/1,273,301.5,273,298.5,265.6,737152586
2019/11/1,299.5,315,296.5,305,271.38,613601788
2019/12/1,307,345,304,331,294.52,659094599
2020/1/1,331,346,316.5,320,286.81,702097416
2020/2/1,315,338,312,316,283.23,707567072
2020/3/1,308,326,235.5,274,245.58,1866076004
2020/4/1,276.5,309,270,304.5,275.57,918497578
2020/5/1,304.5,304.5,288.5,292,264.26,805429889
2020/6/1,294,327,293.5,313,283.26,875847104
2020/7/1,315,466.5,314,425.5,388.15,1431204169
2020/8/1,420.5,453.5,401,426.5,389.07,971991012
2020/9/1,430,462,421,433,394.99,889586045
2020/10/1,433,465,431.5,432,396.25,697225683
2020/11/1,433,506,428,480.5,440.73,926358535
2020/12/1,489.5,530,483.5,530,486.13,809193642
2021/1/1,530,679,528,591,544.75,1398993751
2021/2/1,595,668,587,606,558.57,813122899
2021/3/1,606,622,570,587,541.06,1078965280
2021/4/1,598,619,590,600,555.31,588422161
2021/5/1,595,600,518,597,552.53,861159009
2021/6/1,598,609,578,595,550.68,497604644
2021/7/1,596,615,573,580,539.02,588735138
2021/8/1,583,614,551,614,570.62,581641703
2021/9/1,614,638,575,580,539.02,572021433
2021/10/1,579,604,560,590,550.81,459873825
2021/11/1,591,623,585,596,556.41,498097435
2021/12/1,596,620,594,615,574.15,452423204
2022/1/1,619,688,618,636,596.49,922313952
2022/2/1,636,650,600,604,566.48,554354568
2022/3/1,599,610,555,597,559.91,976978169
2022/4/1,585,589,523,538,507.08,613866812
2022/5/1,538,560,505,560,527.81,597891764
2022/6/1,550,555,476,476,448.64,619492801
2022/7/1,471.5,510,433,509,482.35,718989084
2022/8/1,506,527,488.5,505,478.56,513479662
2022/9/1,495,495.5,422,422,399.91,589015563
2022/10/1,418.5,451,370,390,371.71,950215489
2022/11/1,388.5,498,378.5,490,467.02,1007778739
2022/12/1,506,508,442.5,448.5,427.47,609124409
2023/1/1,448.5,543,443,522,500.38,536547905
2023/2/1,532,546,505,511,489.84,534989665
2023/3/1,504,539,504,533,510.93,531056103
2023/4/1,533,535,489,502,483.82,364098028
2023/5/1,502,574,494.5,558,537.79,668021527
2023/6/1,550,594,550,576,555.14,491871436
2023/7/1,578,591,557,565,547.08,426918140
2023/8/1,565,569,534,549,531.59,429450361
2023/9/1,543,558,516,523,506.42,413375385
2023/10/1,530,556,519,529,515.08,499230396
2023/11/1,533,585,527,577,561.82,531342183
2023/12/1,573,593,566,593,577.4,565572937
2024/1/1,593,648,574,628,614.67,801241408
2024/2/1,625,709,619,690,675.36,563384426
2024/3/1,697,796,688,776,759.53,962616759
2024/4/1,783,826,740,790,776.85,803963992
2024/5/1,789,878,772,821,807.33,736349967
2024/6/1,839,984,835,966,949.91,903738976
2024/7/1,968,1080,915,934,922,1008620725
2024/8/1,969,977,813,944,931.87,991085377
2024/9/1,950,1025,888,957,944.7,676410210
2024/10/1,967,1100,967,1030,1021.3,792908603
2024/11/1,996,1090,992,996,987.58,802504052
2024/12/1,1020,1095,1015,1075,1065.92,668020107
2025/1/1,1070,1160,1055,1135,1129.73,608468011
2025/2/1,1065,1125,1040,1040,1035.18,728947802
2025/3/1,1000,1030,910,910,905.78,799799237
2025/4/1,929,952,780,908,908,827066708
2025/5/1,938,1000,911,967,962.91,607697612
2025/6/1,958,1080,946,1060,1060,667335366
