Date,Open,High,Low,Close,Adj Close,Volume
2019/10/1,131,141,127,134,116.94,189876150
2019/11/1,134,144,133,140,122.18,149601480
2019/12/1,141,153,139,151.5,132.21,114424003
2020/1/1,151.5,154.5,142,143,124.8,106086955
2020/2/1,139,147.5,137.5,140,122.18,91922991
2020/3/1,136,142.5,108.5,120.5,105.16,182023431
2020/4/1,121,143,116,140,122.18,129775365
2020/5/1,140,142.5,133.5,138,120.43,104722612
2020/6/1,140,172,139,167.5,146.18,251811147
2020/7/1,167.5,203.5,163,200,174.54,253107491
2020/8/1,201,209.5,188,189,169.95,155999793
2020/9/1,190,194.5,176,189,169.95,126977312
2020/10/1,189,204.5,188,190,170.85,114191930
2020/11/1,187.5,228.5,184,224.5,201.88,149856380
2020/12/1,229,265,223,263,236.5,177977102
2021/1/1,263,325,262.5,282.5,254.03,331624914
2021/2/1,277,313,276,280.5,252.23,196237691
2021/3/1,280.5,297.5,259,288,258.98,204810406
2021/4/1,290,314.5,286.5,302.5,272.01,161573242
2021/5/1,306,310,245,296,266.17,181310758
2021/6/1,295,307,289,303,272.46,115063381
2021/7/1,303,335,285,287,258.08,150686237
2021/8/1,287.5,294.5,254.5,270.5,247.66,132423371
2021/9/1,270.5,275,245,252,230.72,118018251
2021/10/1,252,262,234.5,245,224.31,144196872
2021/11/1,246.5,268,245,256,234.39,134723099
2021/12/1,256,280,256,275,251.78,91919799
2022/1/1,276,302,266,268,245.37,111060109
2022/2/1,268,277.5,246,246.5,225.69,92357655
2022/3/1,249,270,234,268.5,245.83,145402352
2022/4/1,265.5,269,236,250,228.89,92355564
2022/5/1,250,250,217,241.5,221.11,93712181
2022/6/1,242.5,242.5,219,221.5,202.8,103056302
2022/7/1,220.5,265,210.5,258,241.85,142586055
2022/8/1,259.5,275.5,252,263,246.54,133444172
2022/9/1,264,273,244,253,237.17,107738875
2022/10/1,249.5,281,248.5,257.5,241.38,144604640
2022/11/1,259.5,304,257,302,283.1,144625648
2022/12/1,303,306.5,277.5,286.5,268.57,97933866
2023/1/1,286.5,295,271.5,289,270.91,91194833
2023/2/1,292,302,286,286.5,268.57,106218764
2023/3/1,282,307,282,301,282.16,129902896
2023/4/1,301,323.5,290,300,281.23,114501455
2023/5/1,300,324,293,316.5,296.69,123955530
2023/6/1,316.5,385,310.5,344.5,322.94,247136707
2023/7/1,347,388.5,345,365.5,352.55,184265772
2023/8/1,377,382,335,346,333.74,165269584
2023/9/1,349,351,320,324.5,313,104998894
2023/10/1,326,342.5,289.5,290.5,280.21,127427447
2023/11/1,290,322.5,285,316.5,305.29,135032878
2023/12/1,316,321.5,300,313.5,302.39,105174789
2024/1/1,313.5,313.5,276.5,280,270.08,169715139
2024/2/1,282,295,281.5,294.5,284.07,90593444
2024/3/1,295,365,289,342,329.88,354178877
2024/4/1,343.5,346,292.5,320.5,309.15,200274568
2024/5/1,309.5,354,305,325,313.49,211130088
2024/6/1,332.5,396,328.5,387.5,373.77,264648443
2024/7/1,388.5,435,369,414.5,407.26,260805532
2024/8/1,423,427,347,399.5,392.52,234223496
2024/9/1,405,405,358.5,380.5,373.85,146631061
2024/10/1,379.5,413,363.5,404,396.94,166013403
2024/11/1,381,409,374.5,381,374.34,144030541
2024/12/1,386,438,386,430.5,422.98,137158197
2025/1/1,430.5,446,398.5,437.5,429.85,116854149
2025/2/1,400,418.5,386,402,394.97,167354971
2025/3/1,397,406,360,360,353.71,196402964
2025/4/1,365,373.5,275,333.5,327.67,177913372
2025/5/1,339.5,383.5,337,374,367.46,141215758
2025/6/1,381,428.5,366,413,405.78,171744412
